Debtor Name,Industry Division,Industry Group,Cause,Date Filed,Disposition,¤363 Sale,Duration,Inc. State,District Filed,City Filed,Forum Shopping,Filing Party,Plan Type,Employees,Business Survival,Refiled,Headquarters City,Date Disposed,Asset Size,Employee Size,Annual Sales,Assets (millions),Chapter at Filing,Debtor's Attorney
National Convenience Stores Inc.,G: Retail Trade,54 Food Stores,Not tort,12/9/91,confirmed,no 363 sale,443,DE,TX SD,Houston,Filed at headquarters,debtors,free fall,"6,340",Company emerged,"emerged 5 years, did not refile",TX Houston,2/24/93,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$2,028,557,912 ",$688 ,Chapter 11,Sheinfeld Maley
"National Energy Group, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,12/4/98,confirmed,no 363 sale,598,DE,TX ND,Dallas,Filed at headquarters,creditors,free fall,74,Company emerged,"emerged 5 years, did not refile",TX Dallas,7/24/00,d Less than $500 million,e Less than 200,"$86,709,713 ",$404 ,Chapter 11,Weil Gotshal
National Equipment Services Inc.,I: Services,73 Business Services,Not tort,6/27/03,confirmed,no 363 sale,210,DE,IL ND,Chicago,Filed at headquarters,debtors,prenegotiated,"2,900",Company emerged,"emerged 5 years, did not refile",IL Chicago,1/23/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$881,008,995 ","$1,223 ",Chapter 11,Kirkland Ellis
National Gypsum Co.,D: Manufacturing,"32 Stone, Clay, Glass, And Concrete Products",Asbestos,10/28/90,confirmed,no 363 sale,863,DE,TX ND,Dallas,Filed at headquarters,debtors,free fall,"6,400",Company emerged,"emerged 5 years, did not refile",TX Dallas,3/9/93,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,661,458,945 ","$2,817 ",Chapter 11,Johnson Gibbs
National Steel Corp.,D: Manufacturing,33 Primary Metal Industries,Not tort,3/6/02,confirmed,363 sale,596,DE,IL ND,Chicago,Forum Shop,debtors,free fall,"8,342",company did not emerge,not emerged 5 years,IN South Bend,10/23/03,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$3,630,319,955 ","$3,362 ",Chapter 11,Piper Rudnick
"NationsRent, Inc.",I: Services,73 Business Services,Not tort,12/17/01,confirmed,no 363 sale,513,DE,DE,Wilmington,Forum Shop,debtors,free fall,"3,000",Company emerged,"emerged 5 years, did not refile",FL Fort Lauderdale,5/14/03,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$986,245,664 ","$2,535 ",Chapter 11,Jones Day
"Nebraska Book Company, Inc.",F: Wholesale Trade,51 Wholesale Trade-non-durable Goods,Not tort,6/27/11,confirmed,no 363 sale,338,KS,DE,Wilmington,Forum Shop,debtors,prenegotiated,"2,600",Company emerged,"emerged 5 years, did not refile",NE Lincoln,5/30/12,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$698,715,429 ",$710 ,Chapter 11,Kirkland Ellis
"Neenah Enterprises, Inc. (2010)",D: Manufacturing,33 Primary Metal Industries,Not tort,2/3/10,confirmed,no 363 sale,153,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"1,650",Company emerged,"emerged 5 years, did not refile",WI Milwaukee,7/6/10,d Less than $500 million,"c 1,000 but less than 10,000","$400,188,802 ",$344 ,Chapter 11,Sidley Austin
Neenah Foundry Company (2003),D: Manufacturing,"32 Stone, Clay, Glass, And Concrete Products",Not tort,8/5/03,confirmed,no 363 sale,52,WI,DE,Wilmington,Forum Shop,debtors,prepackaged,"2,970",Company emerged,"emerged 5 years, did not refile",WI Milwaukee,9/26/03,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$571,770,061 ",$822 ,Chapter 11,Kirkland Ellis
Neff Corp.,I: Services,73 Business Services,Not tort,5/16/10,confirmed,no 363 sale,128,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"1,128",Company emerged,"emerged 5 years, did not refile",FL Miami,9/21/10,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$233,092,820 ","$1,071 ",Chapter 11,Kirkland Ellis
Neiman Marcus Group LTD LLC,G: Retail Trade,53 General Merchandise Stores,Not tort,5/7/20,confirmed,no 363 sale,120,DE,TX SD,Houston,Forum Shop,debtors,prenegotiated,"13,500",Company emerged,not emerged 5 years,TX Dallas,9/4/20,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$4,978,424,809 ","$7,666 ",Chapter 11,Kirkland Ellis
"NetBank, Inc.","H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,9/28/07,confirmed,no 363 sale,354,GA,FL MD,Jacksonville,Forum Shop,debtors,free fall,"2,589",company did not emerge,not emerged 5 years,GA Atlanta,9/16/08,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$522,701,983 ","$5,962 ",Chapter 11,Holland Knight
Network Plus Corp.,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,2/4/02,converted,363 sale,492,DE,DE,Wilmington,Forum Shop,debtors,free fall,920,company did not emerge,not emerged 5 years,MA Boston,6/11/03,c $500 million but less than $1billion,"d 200 but less than 1,000","$345,736,018 ",$593 ,Chapter 11,WilmerHale
New American Healthcare Corp.,I: Services,80 Health Services,Not tort,4/19/00,confirmed,363 sale,"1,150",DE,TN MD,Nashville,Filed at headquarters,debtors,free fall,"2,350",company did not emerge,not emerged 5 years,TN Nashville,6/13/03,d Less than $500 million,"c 1,000 but less than 10,000","$261,538,400 ",$334 ,Chapter 11,Harwell Howard
New Century Communications Inc.,D: Manufacturing,"27 Printing, Publishing, And Allied Industries",Not tort,12/23/91,confirmed,no 363 sale,31,DE / NY,OH ND,Cleveland,Filed at headquarters,debtors,prepackaged,"1,260",Company emerged,"emerged 5 years, did not refile",OH Cleveland,1/23/92,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$386,801,057 ",$553 ,Chapter 11,Squire Sanders
New Century Financial Corporation,"H: Finance, Insurance, And Real Estate",67 Holding And Other Investment Offices,Not tort,4/2/07,confirmed,363 sale,470,MD,DE,Wilmington,Forum Shop,debtors,free fall,"7,200",company did not emerge,not emerged 5 years,CA Santa Ana,7/15/08,a $10 billion and over,"c 1,000 but less than 10,000","$1,833,493,750 ","$32,949 ",Chapter 11,O'Melveny Myers
New Source Energy Partners L.P.,B: Mining,13 Oil And Gas Extraction,Not tort,3/15/16,Chapter 7 at filing,Chapter 7 at filing,,DE,DE,Wilmington,Forum Shop,debtors,not applicable,427,company did not emerge,not emerged 5 years,OK Oklahoma City,,d Less than $500 million,"d 200 but less than 1,000","$181,183,943 ",$413 ,Chapter 7,Morris Nichols
New Valley Corp.,I: Services,73 Business Services,Not tort,11/15/91,confirmed,no 363 sale,"1,082",NY,NJ,Newark,Filed at headquarters,creditors,free fall,"2,150",Company emerged,"emerged 5 years, did not refile",NJ Newark,11/1/94,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,075,699,576 ",$500 ,Chapter 11,Mudge Rose
New World Pasta Co.,D: Manufacturing,20 Food and Kindred Products,Not tort,5/10/04,confirmed,no 363 sale,560,DE,PA MD,Harrisburg,Filed at headquarters,debtors,free fall,"2,050",Company emerged,"emerged 5 years, did not refile",PA Harrisburg,11/21/05,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$550,976,203 ",$587 ,Chapter 11,Saul Ewing
"Newark Group, Inc.",D: Manufacturing,26 Paper and Allied Products,Not tort,6/9/10,confirmed,no 363 sale,51,NJ,NJ,Newark,Filed at headquarters,debtors,prepackaged,"3,166",Company emerged,"emerged 5 years, did not refile",NJ Newark,7/30/10,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,229,541,486 ",$743 ,Chapter 11,Lowenstein Sandler
NewPage Corporation,D: Manufacturing,26 Paper and Allied Products,Not tort,9/7/11,confirmed,no 363 sale,464,DE,DE,Wilmington,Forum Shop,debtors,free fall,"7,300",Company emerged,"emerged 5 years, refiled",OH Dayton,12/14/12,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$4,128,294,029 ","$4,031 ",Chapter 11,Dewey LeBoeuf
"NewPower Holdings, Inc.","E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,6/11/02,confirmed,no 363 sale,262,DE,GA ND,Newnan,Forum Shop,debtors,free fall,150,company did not emerge,not emerged 5 years,NY White Plains,2/28/03,d Less than $500 million,e Less than 200,"$535,612,150 ",$452 ,Chapter 11,Sidley Austin
Nexity Financial Corporation,"H: Finance, Insurance, And Real Estate",60 Depository Institutions,Not tort,7/22/10,converted,no 363 sale,364,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,117,company did not emerge,not emerged 5 years,AL Birmingham,7/21/11,b $1 billion but less than $10 billion,e Less than 200,"$81,509,911 ","$1,131 ",Chapter 11,Richards Layton
"NII Holdings, Inc. (2014)","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,9/15/14,confirmed,no 363 sale,277,DE,NY SD,New York,Forum Shop,debtors,free fall,"13,600",Company emerged,not emerged 5 years,VA Alexandria,6/19/15,b $1 billion but less than $10 billion,"b 10,000 but less than 30,000","$5,222,550,152 ","$9,498 ",Chapter 11,Stroock Stroock
Nobilis Health Corp.,I: Services,80 Health Services,Not tort,10/21/19,Chapter 7 at filing,Chapter 7 at filing,,Canada,DE,Wilmington,Forum Shop,debtors,not applicable,900,case pending,not emerged 5 years,TX Houston,,d Less than $500 million,"d 200 but less than 1,000","$303,360,013 ",$436 ,Chapter 7,pending
Noble Corporation plc,B: Mining,13 Oil And Gas Extraction,Not tort,7/31/20,confirmed,no 363 sale,112,England and Wales,TX SD,Houston,Forum Shop,debtors,prenegotiated,"2,000",case pending,not emerged 5 years,Outside United States,11/20/20,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,312,355,636 ","$8,328 ",Chapter 11,Skadden Arps
"Noble International, Ltd.",D: Manufacturing,37 Transportation Equipment,Not tort,4/15/09,confirmed,363 sale,229,DE,MI ED,Detroit,Filed at headquarters,debtors,free fall,"3,000",company did not emerge,not emerged 5 years,MI Detroit,11/30/09,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$1,065,470,607 ",$982 ,Chapter 11,Foley Lardner
Noranda Aluminum Holding Corporation,D: Manufacturing,33 Primary Metal Industries,Not tort,2/8/16,dismissed,363 sale,275,DE,MO ED,St. Louis,Forum Shop,debtors,free fall,"2,200",company did not emerge,not emerged 5 years,TN Nashville,11/9/16,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,349,107,040 ","$1,195 ",Chapter 11,Paul Weiss
"Nortel Networks Corp. (Nortel Networks, Inc. only)",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,1/14/09,confirmed,363 sale,"2,932",DE,DE,Wilmington,Forum Shop,debtors,free fall,"30,307",company did not emerge,not emerged 5 years,TX Dallas,1/24/17,a $10 billion and over,"a 30,000 and over","$12,870,697,745 ","$10,904 ",Chapter 11,Cleary Gottlieb
"NorthPoint Communications Group, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,1/16/01,converted,363 sale,147,DE,CA ND,San Francisco,Filed at headquarters,debtors,free fall,"1,090",company did not emerge,not emerged 5 years,CA San Francisco,6/12/01,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$31,239,029 ",$713 ,Chapter 11,Hennigan Bennett
Northwest Airlines Corporation,"E: Transportation, Communications, Electric, Gas",45 Transportation By Air,Not tort,9/14/05,confirmed,no 363 sale,611,DE,NY SD,New York,Forum Shop,debtors,free fall,"39,342",Company emerged,"emerged 5 years, did not refile",MN St. Paul,5/18/07,a $10 billion and over,"a 30,000 and over","$11,047,871,066 ","$18,398 ",Chapter 11,Cadwalader Wickersham
NorthWestern Corporation,"E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,9/14/03,confirmed,no 363 sale,401,DE,DE,Wilmington,Forum Shop,debtors,free fall,"2,146",Company emerged,"emerged 5 years, did not refile",SD Sioux Falls,10/19/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,800,952,026 ","$3,759 ",Chapter 11,Paul Hastings
Northwestern Steel & Wire Co.,D: Manufacturing,33 Primary Metal Industries,Not tort,12/19/00,converted,no 363 sale,570,IL,IL ND,Rockford,Filed at headquarters,debtors,free fall,"1,500",company did not emerge,not emerged 5 years,IL Rockford,7/12/02,d Less than $500 million,"c 1,000 but less than 10,000","$546,799,296 ",$389 ,Chapter 11,Sidley Austin
"NRG Energy, Inc. (2002)","E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,11/22/02,dismissed,not classified,171,DE,MN,Minneapolis,Filed at headquarters,creditors,not applicable,"3,888",not classified,not classified,MN Minneapolis,5/12/03,a $10 billion and over,"c 1,000 but less than 10,000","$4,322,517,900 ","$18,526 ",no order for relief,Fredrikson Byron
"NRG Energy, Inc. (2003)","E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,5/14/03,confirmed,no 363 sale,195,DE,NY SD,New York,Forum Shop,debtors,prenegotiated,"3,173",Company emerged,"emerged 5 years, did not refile",MN Minneapolis,11/25/03,a $10 billion and over,"c 1,000 but less than 10,000","$3,238,038,172 ","$15,449 ",Chapter 11,Kirkland Ellis
"NTELOS, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,3/4/03,confirmed,no 363 sale,161,VA,VA ED,Richmond,Forum Shop,debtors,free fall,"1,275",Company emerged,"emerged 5 years, did not refile",VA Harrisonburg,8/12/03,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$371,517,658 ","$1,032 ",Chapter 11,Hunton Williams
"NTK Holdings, Inc.",D: Manufacturing,36 Electronic And Other Electrical Equipment And Components,Not tort,10/21/09,confirmed,no 363 sale,44,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,"8,800",Company emerged,"emerged 5 years, did not refile",RI Providence,12/4/09,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$2,734,495,087 ","$2,390 ",Chapter 11,Weil Gotshal
NTL Communications Corp.,"E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,5/8/02,confirmed,no 363 sale,120,DE,NY SD,New York,Filed at headquarters,debtors,prenegotiated,"17,300",Company emerged,"emerged 5 years, did not refile",NY New York,9/5/02,a $10 billion and over,"b 10,000 but less than 30,000","$3,255,200,656 ","$18,871 ",Chapter 11,Skadden Arps
"Nu-kote Holding, Inc.",D: Manufacturing,39 Miscellaneous Manufacturing Industries,Not tort,11/6/98,confirmed,no 363 sale,755,DE,TN MD,Nashville,Filed at headquarters,debtors,free fall,"2,300",Company emerged,"emerged 5 years, did not refile",TN Nashville,11/30/00,d Less than $500 million,"c 1,000 but less than 10,000","$469,652,093 ",$362 ,Chapter 11,Hance Scarborough
Nucorp Energy Inc.,B: Mining,13 Oil And Gas Extraction,Not tort,7/27/82,confirmed,no 363 sale,"1,242",OH,CA SD,San Diego,Filed at headquarters,debtors,free fall,"3,768",Company emerged,"emerged 5 years, did not refile",CA San Diego,12/20/85,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$326,938,950 ","$1,953 ",Chapter 11,Sidley Austin
"Nuverra Environmental Solutions, Inc.",B: Mining,13 Oil And Gas Extraction,Not tort,5/1/17,confirmed,no 363 sale,85,DE,DE,Wilmington,Forum Shop,debtors,prepackaged,799,Company emerged,not emerged 5 years,AZ Phoenix,7/25/17,d Less than $500 million,"d 200 but less than 1,000","$161,963,819 ",$365 ,Chapter 11,Shearman Sterling
NVR LP,C: Construction,15 Building Construction General Contractors And Operative Builders,Not tort,4/6/92,confirmed,no 363 sale,473,VA,VA ED,Alexandria,Filed at headquarters,debtors,free fall,"1,731",Company emerged,"emerged 5 years, did not refile",VA Alexandria,7/23/93,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,216,697,394 ","$2,933 ",Chapter 11,Hogan Hartson
"O Brien Environmental Energy, Inc.","E: Transportation, Communications, Electric, Gas","49 Electric, Gas, And Sanitary Services",Not tort,9/28/94,confirmed,no 363 sale,503,DE,NJ,Newark,Forum Shop,debtors,free fall,176,Company emerged,"emerged 5 years, did not refile",PA Philadelphia,2/13/96,d Less than $500 million,e Less than 200,"$185,834,426 ",$415 ,Chapter 11,Sills Cummis
Oakwood Homes Corp.,D: Manufacturing,"24 Lumber And Wood Products, Except Furniture",Not tort,11/15/02,confirmed,no 363 sale,502,NC,DE,Wilmington,Forum Shop,debtors,prenegotiated,"7,765",company did not emerge,not emerged 5 years,NC Greensboro,3/31/04,b $1 billion but less than $10 billion,"c 1,000 but less than 10,000","$1,443,885,108 ","$1,092 ",Chapter 11,Morris Nichols
Oasis Petroleum Inc.,B: Mining,13 Oil And Gas Extraction,Not tort,9/30/20,confirmed,no 363 sale,44,DE,TX SD,Houston,Filed at headquarters,debtors,prepackaged,609,Company emerged,not emerged 5 years,TX Houston,11/13/20,b $1 billion but less than $10 billion,"d 200 but less than 1,000","$2,073,288,177 ","$7,505 ",Chapter 11,Kirkland Ellis
"OCA, Inc.",I: Services,80 Health Services,Fraud?,3/14/06,confirmed,no 363 sale,318,DE,LA ED,New Orleans,Filed at headquarters,debtors,free fall,"3,092",Company emerged,"emerged 5 years, did not refile",LA New Orleans,1/26/07,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$489,373,024 ",$860 ,Chapter 11,Heller Draper
Oglebay Norton Company,B: Mining,"14 Mining and Quarrying of Nonmetallic Minerals, Except Fuels",Not tort,2/23/04,confirmed,no 363 sale,267,OH,DE,Wilmington,Forum Shop,debtors,prenegotiated,"1,804",Company emerged,"emerged 5 years, did not refile",OH Cleveland,11/16/04,c $500 million but less than $1billion,"c 1,000 but less than 10,000","$565,473,386 ",$907 ,Chapter 11,Jones Day
"OnCure Holdings, Inc.",I: Services,80 Health Services,Not tort,6/14/13,confirmed,no 363 sale,111,DE,DE,Wilmington,Forum Shop,debtors,prenegotiated,430,company did not emerge,not emerged 5 years,CO Denver,10/3/13,d Less than $500 million,"d 200 but less than 1,000","$115,245,779 ",$327 ,Chapter 11,Latham Watkins
Oneida Ltd.,D: Manufacturing,39 Miscellaneous Manufacturing Industries,Not tort,3/19/06,confirmed,no 363 sale,164,NY,NY SD,New York,Forum Shop,debtors,prenegotiated,905,Company emerged,"emerged 5 years, did not refile",NY Utica,8/30/06,d Less than $500 million,"d 200 but less than 1,000","$457,353,495 ",$391 ,Chapter 11,Shearman Sterling
"OpTel, Inc.","E: Transportation, Communications, Electric, Gas",48 Communications,Not tort,10/28/99,confirmed,no 363 sale,768,DE,DE,Wilmington,Forum Shop,debtors,free fall,749,Company emerged,"emerged 5 years, did not refile",TX Dallas,12/4/01,c $500 million but less than $1billion,"d 200 but less than 1,000","$100,601,501 ",$971 ,Chapter 11,Young Conaway
